id,kind,label,x0,x1,z0,z1,y0,y1,largeur,profondeur,hauteur,etages,portes,fenetres
GalerieW,slab,Galerie de la Grand-Rue,-30.0,-6.0,-18.0,-15.5,2.95,3.2,24.0,2.5,0.25,,0,0
GardeCorpsGalerieW1,fence,Garde-corps galerie,-30.0,-20.5,-15.525,-15.475,3.2,4.2,9.5,0.05,1.0,,0,0
GardeCorpsGalerieW2,fence,Garde-corps galerie,-18.0,-12.0,-15.525,-15.475,3.2,4.2,6.0,0.05,1.0,,0,0
GardeCorpsGalerieW3,fence,Garde-corps galerie,-12.0,-6.0,-15.525,-15.475,3.2,4.2,6.0,0.05,1.0,,0,0
PasserelleW,slab,Passerelle,-20.5,-18.0,-15.5,-8.0,2.95,3.2,2.5,7.5,0.25,,0,0
GardeCorpsPasserelleW1,fence,Garde-corps passerelle,-20.525,-20.475,-15.5,-8.0,3.2,4.2,0.05,7.5,1.0,,0,0
GardeCorpsPasserelleW2,fence,Garde-corps passerelle,-18.025,-17.975,-15.5,-8.0,3.2,4.2,0.05,7.5,1.0,,0,0
SaloonW,building,Saloon,-26.0,-14.0,-8.0,4.0,0.0,6.4,12.0,12.0,6.4,2,5,5
BalconSaloonW,slab,Balcon du Saloon,-14.0,-11.5,-8.0,4.0,2.95,3.2,2.5,12.0,0.25,,0,0
GardeCorpsBalconW1,fence,Garde-corps balcon,-11.525,-11.475,-8.0,-2.0,3.2,4.2,0.05,6.0,1.0,,0,0
GardeCorpsBalconW3,fence,Garde-corps balcon,-11.525,-11.475,-2.0,4.0,3.2,4.2,0.05,6.0,1.0,,0,0
GardeCorpsBalconW2,fence,Garde-corps balcon,-14.0,-11.5,3.975,4.025,3.2,4.2,2.5,0.05,1.0,,0,0
EscalierBalconW,stairs,Escalier du balcon (rue),-12.75,-12.75,-13.0,-8.0,0.0,3.2,2.5,,,,,
RemiseW,building,Remise,-18.0,-14.0,4.0,13.0,0.0,3.4,4.0,9.0,3.4,1,2,1
AbreuvoirPlaceW,cover,Abreuvoir,-10.0,-8.0,-5.0,-4.0,0.0,1.0,2.0,1.0,1.0,,0,0
CaissesBanqueW,cover,Caisses de la Banque,-6.0,-3.5,-10.0,-7.5,0.0,2.2,2.5,2.5,2.2,,0,0
TonneauxPlaceW,cover,Tonneaux,-9.0,-7.5,0.0,1.5,0.0,1.4,1.5,1.5,1.4,,0,0
CharretteRueW,cover,Charrette,-26.0,-23.0,-13.5,-11.5,0.0,2.2,3.0,2.0,2.2,,0,0
CiterneW,cover,Citerne,-34.0,-31.0,-10.0,-7.0,0.0,2.2,3.0,3.0,2.2,,0,0
CaisseCourW,cover,Caisses de la cour,-33.0,-31.5,0.0,2.0,0.0,1.4,1.5,2.0,1.4,,0,0
PalissadeW,fence,Palissade,-37.5,-26.25,12.8,13.0,0.0,2.2,11.25,0.2,2.2,,0,0
ParapetW1,fence,Parapet,-21.75,-18.0,12.8,13.0,0.0,1.0,3.75,0.2,1.0,,0,0
ParapetW2,fence,Parapet,-5.75,-2.0,12.8,13.0,0.0,1.0,3.75,0.2,1.0,,0,0
RampeCourW,ramp,Rampe de la Cour,-39.75,-39.75,7.0,13.0,0.0,-2.0,4.5,,,,,
RampeRuelleW,ramp,Rampe de la Ruelle,-24.0,-24.0,7.0,13.0,0.0,-2.0,4.5,,,,,
RampePlaceW,ramp,Rampe de la Place,-8.0,-8.0,7.0,13.0,0.0,-2.0,4.5,,,,,
PenduW,platform,"Colline du Pendu (+1,2)",-15.0,-10.5,13.0,19.5,-2.0,1.2,4.5,6.5,3.2,,0,0
EscalierPenduW,stairs,Marches du Pendu (terrasse),-12.75,-12.75,11.0,13.0,0.0,1.2,2.5,,,,,
EscalierPenduRavinW,stairs,Marches du Pendu (ravin),-20.0,-15.0,14.25,14.25,-2.0,1.2,2.5,,,,,
TombesW,cover,Tombes,-14.5,-12.5,16.0,16.6,1.2,2.2,2.0,0.6,1.0,,0,0
ArbrePenduW,landmark,Arbre du pendu,-11.6,-11.2,18.4,18.8,1.2,7.0,0.4,0.4,5.8,,0,0
RocherS0W,rock,Aiguille du Gue,-6.5,-2.5,18.5,25.0,-2.0,1.8,4.0,6.5,3.8,,0,0
RocherS1W,rock,Aiguille S1,-24.5,-20.5,18.5,25.0,-2.0,1.8,4.0,6.5,3.8,,0,0
RocherN2W,rock,Aiguille N2,-33.5,-29.5,13.0,19.5,-2.0,1.8,4.0,6.5,3.8,,0,0
RocherS2W,rock,Aiguille S2,-42.0,-38.5,18.5,25.0,-2.0,1.8,3.5,6.5,3.8,,0,0
CliffE,boundary,Falaise est,42.0,43.0,-25.0,25.0,-2.0,6.0,1.0,50.0,8.0,,0,0
G_PlateauE,ground,Plateau de la Gare,0.0,42.0,-25.0,7.0,-2.0,0.0,42.0,32.0,2.0,,0,0
G_BordE1,ground,Bord de la Tranchee,0.0,3.0,7.0,13.0,-2.0,0.0,3.0,6.0,2.0,,0,0
G_BordE2,ground,Voie de garage,7.5,24.0,7.0,13.0,-2.0,0.0,16.5,6.0,2.0,,0,0
G_BordE3,ground,Voie de garage,24.0,35.75,7.0,15.0,-2.0,0.0,11.75,8.0,2.0,,0,0
G_BordE4,ground,Bord du carreau,40.25,42.0,7.0,15.0,-2.0,0.0,1.75,8.0,2.0,,0,0
G_BordE5,ground,Haut de la rampe du carreau,35.75,40.25,7.0,9.0,-2.0,0.0,4.5,2.0,2.0,,0,0
G_EntailleE1,ground,Fond d'entaille,3.0,7.5,7.0,13.0,-4.0,-2.0,4.5,6.0,2.0,,0,0
G_EntailleE2,ground,Fond d'entaille,35.75,40.25,9.0,15.0,-4.0,-2.0,4.5,6.0,2.0,,0,0
G_TrancheeE1,ground,"Tranchee de la mine (-2 m, 12 m)",0.0,24.0,13.0,25.0,-4.0,-2.0,24.0,12.0,2.0,,0,0
G_TrancheeE2,ground,"Tranchee de la mine (-2 m, 10 m)",24.0,42.0,15.0,25.0,-4.0,-2.0,18.0,10.0,2.0,,0,0
BureauE,building,Bureau du fret,9.0,20.0,-25.0,-15.5,0.0,6.4,11.0,9.5,6.4,2,6,4
PontBanqueE,slab,Pont Banque-Bureau,6.0,9.0,-18.0,-15.5,2.95,3.2,3.0,2.5,0.25,,0,0
GardeCorpsPontE1,fence,Garde-corps pont,6.0,9.0,-18.025,-17.975,3.2,4.2,3.0,0.05,1.0,,0,0
GardeCorpsPontE2,fence,Garde-corps pont,6.0,9.0,-15.525,-15.475,3.2,4.2,3.0,0.05,1.0,,0,0
PasserelleFretE,slab,Passerelle du fret,20.0,28.0,-22.0,-19.5,2.95,3.2,8.0,2.5,0.25,,0,0
GardeCorpsFretE1,fence,Garde-corps passerelle du fret,20.0,28.0,-22.025,-21.975,3.2,4.2,8.0,0.05,1.0,,0,0
GardeCorpsFretE2,fence,Garde-corps passerelle du fret,20.0,28.0,-19.525,-19.475,3.2,4.2,8.0,0.05,1.0,,0,0
CaissesFretE,cover,Caisses de la cour du fret,23.0,25.0,-25.0,-22.5,0.0,2.2,2.0,2.5,2.2,,0,0
HalleE,building,Halle aux marchandises,28.0,42.0,-25.0,-3.0,0.0,6.4,14.0,22.0,6.4,2,4,4
PortiqueE,slab,Portique de signalisation,17.0,19.5,-15.5,-6.0,2.95,3.2,2.5,9.5,0.25,,0,0
GardeCorpsPortiqueE1,fence,Garde-corps portique,16.975,17.025,-15.5,-11.5,3.2,4.2,0.05,4.0,1.0,,0,0
GardeCorpsPortiqueE3,fence,Garde-corps portique,16.975,17.025,-9.0,-6.0,3.2,4.2,0.05,3.0,1.0,,0,0
GardeCorpsPortiqueE2,fence,Garde-corps portique,19.475,19.525,-15.5,-6.0,3.2,4.2,0.05,9.5,1.0,,0,0
EscalierPortiqueE,stairs,Escalier du portique,12.0,17.0,-10.25,-10.25,0.0,3.2,2.5,,,,,
FourgonE,building,"Fourgon de queue (traversant O-E, chicane)",20.5,25.0,-9.0,-6.0,0.0,3.4,4.5,3.0,3.4,1,2,0
PosteE,building,Poste d'aiguillage,13.5,20.5,-6.0,1.0,0.0,6.4,7.0,7.0,6.4,2,3,3
QuaiE,platform,"Quai de la gare (+1,2)",16.0,29.0,1.0,5.0,0.0,1.2,13.0,4.0,1.2,,0,0
EscalierQuaiOuestE,stairs,Marches du quai (place),14.1,16.0,3.0,3.0,0.0,1.2,4.0,,,,,
EscalierQuaiE,stairs,Marches du quai,31.0,29.0,3.0,3.0,0.0,1.2,2.5,,,,,
SalleAttenteE,building,"Salle d'attente (bout du quai, chicane)",16.0,22.0,1.0,5.0,1.2,4.6,6.0,4.0,3.4,1,2,0
GuichetE,wall,Guichet (chicane de la salle d'attente),18.5,19.0,1.0,3.8,1.2,3.6,0.5,2.8,2.4,,0,0
LampisterieE,building,"Lampisterie (traversante O-E, chicane)",14.0,18.5,5.0,13.0,0.0,3.4,4.5,8.0,3.4,1,2,0
WagonnetsVidesE,cover,Wagonnets vides (voie de garage),29.0,33.0,9.0,11.0,0.0,2.2,4.0,2.0,2.2,,0,0
PileTraversesE,cover,Pile de traverses (coin du rebord),24.0,26.0,13.0,15.0,0.0,2.2,2.0,2.0,2.2,,0,0
BidonsPlaceE,cover,Bidons,4.5,6.0,1.0,2.5,0.0,1.4,1.5,1.5,1.4,,0,0
CoffreFortE,cover,Coffre-fort renverse (angle SE de la Banque),3.0,6.0,-10.0,-8.0,0.0,2.2,3.0,2.0,2.2,,0,0
TraversesPlaceE,cover,Traverses,8.0,10.5,-4.5,-3.5,0.0,1.0,2.5,1.0,1.0,,0,0
SouteE,building,"Estacade a charbon (ecran, portes en chicane)",34.0,37.0,-3.0,4.0,0.0,3.5,3.0,7.0,3.5,1,2,0
ChateauPiedE1,landmark,Pied du chateau d'eau,30.8,31.2,5.0,5.4,0.0,8.5,0.4,0.4,8.5,,0,0
ChateauPiedE2,landmark,Pied du chateau d'eau,33.8,34.2,5.0,5.4,0.0,8.5,0.4,0.4,8.5,,0,0
ChateauPiedE3,landmark,Pied du chateau d'eau,30.8,31.2,8.0,8.4,0.0,8.5,0.4,0.4,8.5,,0,0
ChateauPiedE4,landmark,Pied du chateau d'eau,33.8,34.2,8.0,8.4,0.0,8.5,0.4,0.4,8.5,,0,0
ChateauCuveE,landmark,Cuve du chateau d'eau,30.0,35.0,4.2,9.2,8.5,12.5,5.0,5.0,4.0,,0,0
TremieHautE,platform,"Tremie (+1,2)",9.0,14.0,10.0,13.0,0.0,1.2,5.0,3.0,1.2,,0,0
TremieE,platform,"Tremie (+1,2)",9.0,14.0,13.0,19.5,-2.0,1.2,5.0,6.5,3.2,,0,0
EscalierTremieE,stairs,Marches de la tremie,10.0,10.0,8.0,10.0,0.0,1.2,2.0,,,,,
EscalierTremieTrancheeE,stairs,Marches de la tremie (tranchee),19.0,14.0,14.25,14.25,-2.0,1.2,2.5,,,,,
WagonnetsTremieE,cover,Wagonnets de minerai,9.2,10.4,16.5,19.5,1.2,2.6,1.2,3.0,1.4,,0,0
TreuilTremieE,cover,Cabane du treuil,11.5,13.0,11.0,13.0,1.2,3.4,1.5,2.0,2.2,,0,0
RampeGueE,ramp,Rampe du Gue,5.25,5.25,7.0,13.0,0.0,-2.0,4.5,,,,,
RampeCarreauE,ramp,Rampe du Carreau,38.0,38.0,9.0,15.0,0.0,-2.0,4.5,,,,,
TerrilE1,rock,Terril du gue,2.5,6.0,18.5,25.0,-2.0,1.8,3.5,6.5,3.8,,0,0
TerrilE2,rock,Terril,19.0,23.0,18.5,25.0,-2.0,1.8,4.0,6.5,3.8,,0,0
EtaisE,rock,Pile d'etais,28.0,32.0,15.0,20.5,-2.0,1.8,4.0,5.5,3.8,,0,0
RecetteE,building,Recette du puits,37.0,42.0,19.5,25.0,-2.0,1.6,5.0,5.5,3.6,1,2,1
ChevalementE1,landmark,Chevalement,38.0,38.4,20.5,20.9,1.6,11.0,0.4,0.4,9.4,,0,0
ChevalementE2,landmark,Chevalement,41.0,41.4,20.5,20.9,1.6,11.0,0.4,0.4,9.4,,0,0
ChevalementE3,landmark,Chevalement,38.0,38.4,23.6,24.0,1.6,11.0,0.4,0.4,9.4,,0,0
ChevalementE4,landmark,Chevalement,41.0,41.4,23.6,24.0,1.6,11.0,0.4,0.4,9.4,,0,0
MoletteE,landmark,Molette du chevalement,38.0,41.4,21.8,22.4,11.0,13.0,3.4,0.6,2.0,,0,0
